id,cases
228,4113811
229,4204613
230,4280422
231,4370128
232,4465863
233,4562414
234,4659984
235,4754356
236,4846427
237,4930236
238,5020359
239,5118253
240,5214677
241,5308014
242,5400619
243,5487580
244,5562663
245,5646010
246,5732518
247,5818570
248,5903932
249,5992532
250,6074702
251,6145291
252,6225763
253,6312584
254,6394068
255,6473544
256,6549373
257,6623815
258,6685082
259,6757131
260,6835655
261,6906151
262,6979423
263,7053806
264,7120538
265,7175880
266,7239389
267,7307097
268,7370468
269,7432680
270,7494551
271,7550273
272,7597063
273,7651107
274,7706946
275,7761312
276,7814682
277,7864811
278,7909959
279,7946429
280,7990322
281,8040203
282,8088851
283,8137119
284,8184082
285,8229313
286,8267623
287,8313876
288,8364086
289,8411724
290,8462080
291,8507754
292,8553657
293,8591730
294,8636011
295,8683916
296,8728795
297,8773479
298,8814579
299,8845127
300,8874290
301,8912907
302,8958483
303,9004365
304,9050597
305,9095806
306,9139865
307,9177840
308,9222216
309,9266705
310,9309787
311,9351109
312,9392919
313,9431691
314,9462809
315,9499413
316,9534964
317,9571559
318,9608211
319,9644222
320,9677203
321,9703770
322,9735850
323,9767371
324,9796744
325,9826775
326,9857029
327,9884100
328,9906165
329,9932547
330,9956557
331,9979447
332,10004599
333,10031223
334,10055560
335,10075116
336,10099066
337,10123778
338,10146845
339,10169118
340,10187850
341,10207871
342,10224303
343,10244852
344,10266674
345,10266674
346,10286709
347,10323965
348,10340469
349,10356844
350,10374932
351,10395278
352,10413417
353,10413417
354,10450284
355,10466595
356,10479179
357,10495147
358,10512093
359,10527683
360,10542841
361,10557985
362,10571773
363,10581823
364,10595639
365,10610883
366,10625428
367,10639684
368,10654533
369,10667736
370,10676838
371,10689527
372,10701193
373,10720048
374,10733130
375,10746174
376,10757610
377,10766245
378,10777284
379,10790183
380,10802591
381,10814304
382,10826363
383,10838194
384,10847304
385,10858371
386,10871294
387,10880603
388,10892746
389,10904940
390,10916589
391,10925710
392,10937320
393,10950201
394,10963394
395,10977387
396,10991651
397,11005850
398,11016434
399,11030176
400,11046914
401,11063491
402,11079979
403,11096731
404,11112241
405,11124527
406,11139516
407,11156923
408,11173761
409,11192045
410,11210799
411,11229398
412,11244786
413,11262707
414,11285561
415,11308846
416,11333728
417,11359048
418,11385339
419,11409831
420,11438734
421,11474605
422,11514331
423,11555284
424,11599130
425,11646081
426,11686796
427,11734058
428,11787534
429,11846652
430,11908910
431,11971624
432,12039644
433,12095855
434,12149335
435,12221665
436,12303131
437,12392260
438,12485509
439,12589067
440,12686049
441,12801785
442,12928574
443,13060542
444,13205926
445,13358805
446,13527717
447,13689453
448,13873825
449,14074564
450,14291917
451,14526609
452,14788003
453,15061805
454,15320972
455,15616130
456,15930774
457,16263695
458,16610481
459,16960172
460,17313163
461,17636186
462,17997113
463,18376421
464,18762976
465,19164969
466,19557457
467,19925517
468,20282833
469,20664979
470,21077410
471,21491598
472,21892676
473,22296081
474,22662575
475,22992517
476,23340938
477,23703665
478,24046809
479,24372907
480,24684077
481,24965463
482,25228996
483,25496330
484,25772440
485,26031991
486,26289290
487,26530132
488,26752447
489,26948874
490,27157795
491,27369093
492,27555457
493,27729247
494,27894800
495,28047534
496,28175044
497,28307832
498,28441986
499,28574350
500,28694879
501,28809339
502,28909975
503,28996473
504,29089069
505,29182532
506,29274823
507,29359155
508,29439989
509,29510410
510,29570881
511,29633105
512,29700313
513,29762793
514,29762793
